Nome da escola,UF,Município,Pública ou Privada,Nível sócio-econômico,Nota média na prova objetiva,Nota média na redação
OBJETIVO COLEGIO INTEGRADO,SP,SAO PAULO,Privada,Muito Alto,742.96,774.76
FARIAS BRITO COLEGIO DE APLICACAO,CE,FORTALEZA,Privada,Sem informação,737.88,786.36
COLEGIO OLIMPO INTEGRAL,GO,GOIANIA,Privada,Sem informação,735.02,837.78
CHRISTUS COLEGIO PRE UNIVERSITARIO,CE,FORTALEZA,Privada,Sem informação,731.38,838.62
COLEGIO BERNOULLI - UNIDADE LOURDES,MG,BELO HORIZONTE,Privada,Muito Alto,730.33,799.39
ARI DE SA CAVALCANTE COLEGIO - MAJOR FACUNDO,CE,FORTALEZA,Privada,Alto,725.09,808.33
COLEGIO E CURSO PONTO DE ENSINO,RJ,RIO DE JANEIRO,Privada,Muito Alto,720.73,715.79
COLEGIO ELITE VALE DO ACO,MG,IPATINGA,Privada,Muito Alto,719.81,778.26
COLEGUIUM,MG,BELO HORIZONTE,Privada,Muito Alto,719.71,807.78
OBJETIVO INTEGRADO DE MOGI DAS CRUZES COLEGIO,SP,MOGI DAS CRUZES,Privada,Muito Alto,718.66,757.67
COLEGIO BIONATUS II,MS,CAMPO GRANDE,Privada,Sem informação,712.91,870.45
COLEGIO SANTO ANTONIO,MG,BELO HORIZONTE,Privada,Muito Alto,711.95,780.48
COLEGIO E CURSO PONTO DE ENSINO,RJ,NITEROI,Privada,Muito Alto,711.36,788.00
VERTICE COLEGIO UNIDADE II,SP,SAO PAULO,Privada,Muito Alto,710.99,747.12
COLEGIO E CURSO PONTO DE ENSINO,RJ,RIO DE JANEIRO,Privada,Muito Alto,709.43,788.15
INST DOM BARRETO,PI,TERESINA,Privada,Muito Alto,705.26,775.21
COL DE SAO BENTO,RJ,RIO DE JANEIRO,Privada,Muito Alto,704.94,886.56
SEB COC UNIDADE ALVARES CABRAL,SP,RIBEIRAO PRETO,Privada,Muito Alto,701.70,776.55
ANGLO LEONARDO DA VINCI COLEGIO,SP,CARAPICUIBA,Privada,Muito Alto,701.11,734.44
COLEGIO LEROTE LTDA,PI,TERESINA,Privada,Muito Alto,700.86,844.62
MOBILE COLEGIO,SP,SAO PAULO,Privada,Muito Alto,700.84,788.17
IFES - CAMPUS VITORIA,ES,VITORIA,Federal,Muito Alto,700.30,693.17
COLEGIO SANTO AGOSTINHO,MG,BELO HORIZONTE,Privada,Muito Alto,697.91,812.37
ANTARES COLEGIO PRE VESTIBULAR,CE,FORTALEZA,Privada,Muito Alto,697.80,757.60
ARI DE SA CAVALCANTE SEDE MARIO MAMEDE COLEGIO,CE,FORTALEZA,Privada,Sem informação,697.58,809.56
COL OLIMPO,DF,BRASILIA,Privada,Muito Alto,697.02,777.37
COLEGIO MAGNUM AGOSTINIANO - NOVA FLORESTA,MG,BELO HORIZONTE,Privada,Muito Alto,696.91,782.31
FARIAS BRITO COLEGIO PRE-VESTIBULAR CENTRAL,CE,FORTALEZA,Privada,Alto,696.90,791.43
SANTA CRUZ COLEGIO,SP,SAO PAULO,Privada,Muito Alto,694.08,721.10
COLEGIO SANTO AGOSTINHO,RJ,RIO DE JANEIRO,Privada,Muito Alto,693.91,803.87
COLEGIO HELYOS,BA,FEIRA DE SANTANA,Privada,Muito Alto,693.81,791.00
COL DE APLICACAO DA UFV - COLUNI,MG,VICOSA,Federal,Alto,693.32,818.59
COLEGIO SANTO AGOSTINHO UNIDADE NOVA LIMA,MG,NOVA LIMA,Privada,Muito Alto,692.43,790.83
VILLARE COLEGIO,SP,SAO CAETANO DO SUL,Privada,Muito Alto,691.95,772.17
COLEGIO SANTA MARCELINA,MG,BELO HORIZONTE,Privada,Muito Alto,690.68,774.51
EDUCANDARIO SANTA MARIA GORETTI,PI,TERESINA,Privada,Muito Alto,690.34,800.38
COLEGIO LOYOLA,MG,BELO HORIZONTE,Privada,Muito Alto,689.55,770.60
COLEGIO POLITECNICO DA UNIV FED DE STA MARIA,RS,SANTA MARIA,Federal,Muito Alto,689.44,790.59
BANDEIRANTES COLEGIO EFM,SP,SAO PAULO,Privada,Muito Alto,689.40,706.74
OBJETIVO DO LITORAL CENTRO EDUCACIONAL,SP,SANTOS,Privada,Muito Alto,688.45,713.04
INSTITUTO GAYLUSSAC - ENS FUNDAMENTAL E MEDIO,RJ,NITEROI,Privada,Muito Alto,687.23,763.57
COLEGIO WR,GO,GOIANIA,Privada,Muito Alto,685.48,793.20
COLEGIO MOTIVO - UNIDADE II,PE,RECIFE,Privada,Muito Alto,684.97,785.37
COLEGIO IPIRANGA,RJ,PETROPOLIS,Privada,Muito Alto,684.78,801.21
COLEGIO SANTO INACIO,RJ,RIO DE JANEIRO,Privada,Muito Alto,684.68,795.57
COLEGIO EQUIPE,PE,RECIFE,Privada,Muito Alto,684.08,810.83
COLEGIO SANTO AGOSTINHO - NL,RJ,RIO DE JANEIRO,Privada,Muito Alto,683.48,813.43
CE LEONARDO DA VINCI,ES,VITORIA,Privada,Muito Alto,683.44,695.26
COLEGIO CRUZEIRO-CENTRO,RJ,RIO DE JANEIRO,Privada,Muito Alto,682.40,851.98
COLEGIO COGNITIVO,PE,RECIFE,Privada,Muito Alto,682.34,801.76
COLEGIO FAZER CRESCER - ENSINO MEDIO,PE,RECIFE,Privada,Muito Alto,681.62,744.40
ETAPA COLEGIO,SP,VALINHOS,Privada,Muito Alto,681.57,709.50
COLEGIO DOM BOSCO BATEL - EDUCACAO INFANTIL ENSINO FUNDAMENTAL E MEDIO,PR,CURITIBA,Privada,Muito Alto,680.12,705.14
